9.23,2
9.519,3
9.807,4
10.096,2
10.384,3
10.673,4
10.961,2
11.249,3
11.538,4
11.538,1
12.115,1
12.115,3
12.692,1
12.692,4
12.98,3
13.269,1
13.269,2
13.557,3
13.846,4
13.846,1
14.423,5
14.423,7
14.999,5
14.999,6
15.576,6
15.576,7
16.153,8
16.73,5
17.019,6
17.307,7
17.596,6
17.884,5
17.884,7
18.461,1
19.326,7
19.615,6
19.903,7
20.192,6
20.48,5
20.769,6
20.769,7
21.346,1
21.923,8
22.499,1
23.076,8
23.942,4
24.23,3
24.519,2
24.519,4
24.807,3
25.096,2
25.384,3
25.961,8
26.538,1
27.115,8
27.692,1
27.692,3
28.269,7
28.557,7
28.846,6
29.134,5
29.423,5
29.711,6
29.999,8
30.576,2
30.576,3
31.153,3
31.153,4
31.442,2
31.73,3
31.73,4
32.019,4
32.307,3
32.307,2
32.884,5
33.173,6
33.461,7
33.749,8
34.038,7
34.326,6
34.615,5
35.192,1
35.769,1
36.346,8
38.653,4
38.689,3
38.725,4
38.762,3
38.798,4
38.834,3
38.942,3
39.086,3
39.23,3
39.23,1
39.663,4
39.663,1
40.096,1
40.096,2
40.528,1
40.528,3
40.961,2
40.961,4
41.394,1
41.394,4
41.826,3
41.826,4
42.259,1
42.259,3
42.692,1
42.692,2
43.124,1
43.124,4
43.557,1
43.557,3
43.846,8
44.278,8
44.278,5
44.711,8
44.711,7
45.144,8
45.144,6
45.576,7
45.576,6
45.721,5
46.009,8
46.009,6
46.153,7
46.442,5
46.442,6
46.586,7
46.874,6
46.874,7
47.019,8
47.307,6
47.307,7
47.451,5
47.74,1
47.74,4
47.884,3
48.173,1
48.173,3
48.317,4
48.461,5
48.461,7
48.894,5
48.894,7
49.326,2
49.326,4
49.759,2
49.759,4
50.192,5
50.192,7
50.624,5
50.624,7
51.057,2
51.057,4
51.49,2
51.49,4
51.923,5
51.923,7
52.355,4
52.355,2
52.788,5
52.788,7
53.076,4
53.076,2
53.509,5
53.509,7
53.942,6
53.942,4
54.374,5
54.374,3
54.807,2
54.807,4
55.24,3
55.24,5
55.673,4
55.673,6
56.105,5
56.105,7
56.538,8
56.538,1
56.971,8
56.971,1
57.403,8
57.403,1
57.692,4
57.98,3
58.124,2
58.413,3
58.846,3
59.278,3
59.567,4
59.855,2
59.999,4
60.432,5
60.721,7
61.153,6
61.586,7
61.874,7
62.307,1
62.74,1
63.028,3
63.245,3
63.461,3
64.038,6
64.182,6
64.471,7
64.615,7
65.048,4
65.336,2
65.769,1
66.201,8
66.49,6
66.778,5
67.355,7
67.644,6
68.076,6
68.509,7
68.798,5
69.086,6
69.23,6
69.23,8
69.663,4
69.951,2
70.384,2
70.384,4
70.817,3
71.105,2
71.538,2
71.538,3
71.682,3
71.682,4
71.826,2
71.826,4
71.971,2
72.115,3
72.115,4
72.259,2
72.259,4
72.403,3
72.548,1
72.692,8
72.836,6
72.836,5
72.98,7
72.98,6
73.124,7
73.124,5
73.269,5
73.413,7
73.413,6
73.557,7
73.557,5
73.701,6
73.846,8
74.062,1
74.278,1
74.567,1
74.855,1
74.999,1
75.144,1
75.288,1
75.432,1
75.576,1
75.721,1
75.865,1
75.937,1
76.009,1
76.081,1
76.153,3
76.153,1
76.586,4
76.586,1
77.019,1
77.019,2
77.451,1
77.451,3
77.884,2
77.884,4
78.317,1
78.317,4
78.749,3
78.749,4
79.182,1
79.182,3
79.615,1
79.615,2
80.048,1
80.048,4
80.48,1
80.48,3
80.769,8
81.201,8
81.201,6
81.634,8
81.634,7
82.067,8
82.067,5
82.499,6
82.499,5
82.644,7
82.932,8
82.932,5
83.076,7
83.365,6
83.365,7
83.509,5
83.798,5
83.798,7
83.942,8
84.23,5
84.23,7
84.374,6
84.663,1
84.663,4
84.807,2
85.096,1
85.096,3
85.24,2
85.384,1
85.384,3
85.817,1
85.817,3
86.249,4
86.249,1
86.682,2
86.682,1
87.115,3
87.115,4
87.548,3
87.548,1
87.98,3
87.98,2
88.413,4
88.413,1
88.846,2
88.846,1
89.278,3
89.278,1
89.711,4
89.711,1
89.999,8
90.432,7
90.432,8
90.865,6
90.865,8
91.298,5
91.298,8
91.73,6
91.73,7
91.874,5
92.163,6
92.163,8
92.307,7
92.596,6
92.596,5
92.74,7
93.028,7
93.028,6
93.173,8
93.461,7
93.461,6
93.605,5
93.894,4
93.894,1
94.038,3
94.326,3
94.326,1
94.471,4
95.336,8
95.408,8
95.48,8
95.552,8
95.624,8
95.697,8
95.769,1
